time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,HashRate,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,SplyExNtv,SplyExUSD,SplyExpFut10yr,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2024-06-07,583336.0,53628187.0,1717815281.0,1717815281.0,142.0,2.283767499815,1366587206919.3804,1366549062815.0583,322.71243036,12955.85573307,898335163.087685,20318.26080502,1408830764.2501547,590944002.2950455,443.75,30768807.31256028,1.0,69338.1573240795,161.43940265829903,13.521579903538926,,,,,19709021.11707542,2721585.34256724,188709712653.8361,20759810.15625,250713.0,624855.0,15828294865.7454
2024-06-08,772154.0,53672000.0,1717908148.0,1717908148.0,172.0,2.281753656488,1366071661252.042,1366047845115.0012,146.21708792,15759.24470169,1092274972.1581311,9841.6380443,682125008.1658671,715791324.8666921,537.5,37254183.72823642,1.0,69310.1092618352,161.83730679933657,10.018682812643588,,,,,19709558.61707541,2728269.27192372,189096641332.7406,20759944.53125,529506.0,1011988.0,5663235248.91048
2024-06-09,609844.0,53703114.0,1717992813.0,1717992813.0,153.0,2.291783692164,1372686175118.295,1372666205247.7234,73.01393361,7824.02618893,544896629.2579738,8575.94491142,597263271.1207608,636721355.3029393,478.125,33298546.627129607,1.0,69644.0190894214,169.2782864942038,14.36430142966032,,,,,19710036.74207538,2727696.07867726,189967717773.53897,20760064.0625,761292.0,1122596.0,5172310950.03288
2024-06-10,684041.0,53686625.0,1718078805.0,1718078805.0,139.0,2.284430208974,1369206330030.37,1369188747018.4036,65.82128027,14994.21363665,1041587088.5695468,14899.55500636,1035011538.1925168,578459271.8356823,434.375,30174266.05764173,1.0,69465.9362478083,168.13755756256845,14.171362576873076,,,,,19710471.11703716,2729307.30214404,189593887051.41556,20760172.65625,661124.0,1044155.0,8753023986.24927
2024-06-11,684207.0,53667780.0,1718163800.0,1718163800.0,123.0,2.210797104332,1327886106724.7012,1327872465187.7852,43.46025505,29507.21254144,1987849669.8319364,41758.33695838,2813186647.802397,511874032.7312927,384.375,25894676.285283647,1.0,67368.263506429,160.04133468513982,9.664440219887569,,,,,19710855.49203714,2718231.82438957,183122557817.03775,20760268.75,469892.0,851166.0,18296080106.6416
2024-06-12,677849.0,53668494.0,1718252335.0,1718252335.0,146.0,2.236528862009,1344584160572.374,1344566306144.3247,47.3618229,25314.50599951,1726799527.3529067,28254.65029286,1927358044.1260328,607590313.5693108,456.25,31122562.074488584,1.0,68213.8346838106,163.5686555775208,8.470590684358339,,,,,19711311.74203711,2716379.12239682,185294636393.7312,20760382.8125,690905.0,1112939.0,16808022781.0314
2024-06-13,613255.0,53705598.0,1718336474.0,1718336474.0,145.0,2.189193919128,1316420457334.039,1316402301105.505,56.90466857,21120.28411591,1410486288.8968363,26766.42737912,1787555442.6164956,603428732.7544087,453.125,30261269.03164727,1.0,66783.4902767388,166.09528074766635,8.493014566279765,,,,,19711764.86702071,2711442.48797638,181079593031.70703,20760496.09375,729876.0,1158169.0,13613395924.791
2024-06-14,606488.0,53785238.0,1718424271.0,1718424271.0,128.0,2.162288948988,1300651738960.456,1300633800579.9875,52.92308615,23175.58438308,1529175731.4646313,20890.40014004,1378394278.5087628,532681918.8277885,400.0,26392874.60783168,1.0,65982.1865195792,158.1549219759552,-0.451627662302513,,,,,19712164.8670207,2714964.26098439,179139278262.26352,20760596.09375,599059.0,1052825.0,12994996576.4222
2024-06-15,635369.0,53763858.0,1718508263.0,1718508263.0,134.0,2.168574282271,1305069712028.442,1305041997528.6448,44.27193232,10912.59185588,722467099.5708718,10009.63698503,662687058.7517989,557651385.7391865,418.75,27723303.67897793,1.0,66204.904308007,151.42547712497085,1.4335139983033316,,,,,19712583.6170207,2716207.55297535,179826261125.4189,20760700.78125,447381.0,809296.0,4958017660.39099
2024-06-16,735939.0,53619908.0,1718594613.0,1718594613.0,163.0,2.181700780897,1313337507861.0647,1313296335627.3633,36.56667052,10452.43806117,696368599.2807367,12587.67888223,838623894.2642463,678337127.4959309,509.375,33935886.84121036,1.0,66622.5999336645,151.27166546320453,-0.4985943238645327,,,,,19713092.99199885,2714907.11622392,180874170661.245,20760828.125,452652.0,792524.0,4646838310.79506
